departamento,votos_cepeda,votos_abelardo,total_validos,pct_cepeda,pct_abelardo,votos_derecha_resto,votos_centro,votos_otros_blanco,total_restante,pct_derecha_resto,pct_centro,pct_otros_blanco
Amazonas,13954,7887,25162,55.5,31.3,1649,813,859,3321,6.6,3.2,3.4
Antioquia,805652,1723406,3167186,25.4,54.4,298736,245044,94348,638128,9.4,7.7,3.0
Arauca,34097,50613,96847,35.2,52.3,6127,3101,2909,12137,6.3,3.2,3.0
Atlantico,549193,432784,1033905,53.1,41.9,2700,32861,16367,51928,0.3,3.2,1.6
Bogota D.C,1706249,1543517,3746123,45.5,41.2,376149,44349,75859,496357,10.0,1.2,2.0
Bolivar,443226,312574,805714,55.0,38.8,24734,6974,18206,49914,3.1,0.9,2.3
Boyaca,216425,337768,668295,32.4,50.5,58539,38625,16938,114102,8.8,5.8,2.5
Caldas,146202,218852,490615,29.8,44.6,62987,45891,16683,125561,12.8,9.4,3.4
Caqueta,66468,81783,171013,38.9,47.8,8601,5549,8612,22762,5.0,3.2,5.0
Casanare,54202,134114,218758,24.8,61.3,14990,7633,7819,30442,6.9,3.5,3.6
Cauca,462794,131175,676144,68.4,19.4,41465,18022,22688,82175,6.1,2.7,3.4
Cesar,224457,223840,482416,46.5,46.4,12268,10387,11464,34119,2.5,2.2,2.4
Choco,109148,22782,143851,75.9,15.8,5971,2361,3589,11921,4.2,1.6,2.5
Cordoba,391880,268604,704970,55.6,38.1,19928,11460,13098,44486,2.8,1.6,1.9
Cundinamarca,600032,724083,1599356,37.5,45.3,125532,102535,47174,275241,7.8,6.4,2.9
Guainia,6778,3722,11979,56.6,31.1,732,341,406,1479,6.1,2.8,3.4
Guaviare,12677,16060,34017,37.3,47.2,2092,1256,1932,5280,6.1,3.7,5.7
Huila,176721,297613,548109,32.2,54.3,36639,19576,17560,73775,6.7,3.6,3.2
La Guajira,140544,96625,253852,55.4,38.1,6512,4471,5700,16683,2.6,1.8,2.2
Magdalena,263014,197533,500467,52.6,39.5,18818,10318,10784,39920,3.8,2.1,2.2
Meta,174242,280090,536388,32.5,52.2,37367,22157,22532,82056,7.0,4.1,4.2
Narino,472845,148120,689164,68.6,21.5,32216,18735,17248,68199,4.7,2.7,2.5
Norte de Santander,128091,519161,734618,17.4,70.7,34077,32509,20780,87366,4.6,4.4,2.8
Putumayo,94416,25087,132178,71.4,19.0,4584,3021,5070,12675,3.5,2.3,3.8
Quindio,94337,142586,293259,32.2,48.6,27979,18786,9571,56336,9.5,6.4,3.3
Risaralda,182268,226277,505268,36.1,44.8,45393,33259,18071,96723,9.0,6.6,3.6
San Andres y Providencia,7936,7793,17971,44.2,43.4,848,659,735,2242,4.7,3.7,4.1
Santander,343998,684563,1198068,28.7,57.1,78011,55727,35769,169507,6.5,4.7,3.0
Sucre,226644,145696,400176,56.6,36.4,14660,6041,7135,27836,3.7,1.5,1.8
Tolima,235730,315181,671383,35.1,46.9,72221,27274,20977,120472,10.8,4.1,3.1
Valle del Cauca,1119914,710909,2103816,53.2,33.8,120626,94696,57671,272993,5.7,4.5,2.7
Vaupes,6932,1379,9170,75.6,15.0,360,286,213,859,3.9,3.1,2.3
Vichada,9769,9334,21259,46.0,43.9,989,490,677,2156,4.7,2.3,3.2
