departamento,candidato,votos
Amazonas,Ivan Cepeda,13954
Amazonas,Abelardo de la Espriella,7887
Amazonas,Paloma Valencia,1596
Amazonas,Miguel Uribe Londono,53
Amazonas,Sergio Fajardo,494
Amazonas,Claudia Lopez,218
Amazonas,Roy Barreras,35
Amazonas,Mauricio Lizcano,66
Amazonas,Santiago Botero,341
Amazonas,Sondra Macollins,27
Amazonas,Gustavo Matamoros,12
Amazonas,Votos en blanco,479
Antioquia,Ivan Cepeda,805652
Antioquia,Abelardo de la Espriella,1723406
Antioquia,Paloma Valencia,294322
Antioquia,Miguel Uribe Londono,4414
Antioquia,Sergio Fajardo,225072
Antioquia,Claudia Lopez,13482
Antioquia,Roy Barreras,1948
Antioquia,Mauricio Lizcano,4542
Antioquia,Santiago Botero,30271
Antioquia,Sondra Macollins,2783
Antioquia,Gustavo Matamoros,755
Antioquia,Votos en blanco,60539
Arauca,Ivan Cepeda,34097
Arauca,Abelardo de la Espriella,50613
Arauca,Paloma Valencia,5889
Arauca,Miguel Uribe Londono,238
Arauca,Sergio Fajardo,2313
Arauca,Claudia Lopez,466
Arauca,Roy Barreras,100
Arauca,Mauricio Lizcano,222
Arauca,Santiago Botero,189
Arauca,Sondra Macollins,116
Arauca,Gustavo Matamoros,25
Arauca,Votos en blanco,2579
Atlantico,Ivan Cepeda,549193
Atlantico,Abelardo de la Espriella,432784
Atlantico,Paloma Valencia,2094
Atlantico,Miguel Uribe Londono,606
Atlantico,Sergio Fajardo,27808
Atlantico,Claudia Lopez,2684
Atlantico,Roy Barreras,305
Atlantico,Mauricio Lizcano,2064
Atlantico,Santiago Botero,3296
Atlantico,Sondra Macollins,508
Atlantico,Gustavo Matamoros,230
Atlantico,Votos en blanco,12333
Bogota D.C,Ivan Cepeda,1706249
Bogota D.C,Abelardo de la Espriella,1543517
Bogota D.C,Paloma Valencia,372142
Bogota D.C,Miguel Uribe Londono,4007
Bogota D.C,Sergio Fajardo,25841
Bogota D.C,Claudia Lopez,10244
Bogota D.C,Roy Barreras,1815
Bogota D.C,Mauricio Lizcano,6449
Bogota D.C,Santiago Botero,2209
Bogota D.C,Sondra Macollins,2679
Bogota D.C,Gustavo Matamoros,827
Bogota D.C,Votos en blanco,70144
Bolivar,Ivan Cepeda,443226
Bolivar,Abelardo de la Espriella,312574
Bolivar,Paloma Valencia,23822
Bolivar,Miguel Uribe Londono,912
Bolivar,Sergio Fajardo,1569
Bolivar,Claudia Lopez,2343
Bolivar,Roy Barreras,431
Bolivar,Mauricio Lizcano,2631
Bolivar,Santiago Botero,4167
Bolivar,Sondra Macollins,569
Bolivar,Gustavo Matamoros,189
Bolivar,Votos en blanco,13281
Boyaca,Ivan Cepeda,216425
Boyaca,Abelardo de la Espriella,337768
Boyaca,Paloma Valencia,57602
Boyaca,Miguel Uribe Londono,937
Boyaca,Sergio Fajardo,28853
Boyaca,Claudia Lopez,8175
Boyaca,Roy Barreras,436
Boyaca,Mauricio Lizcano,1161
Boyaca,Santiago Botero,6083
Boyaca,Sondra Macollins,670
Boyaca,Gustavo Matamoros,151
Boyaca,Votos en blanco,10034
Caldas,Ivan Cepeda,146202
Caldas,Abelardo de la Espriella,218852
Caldas,Paloma Valencia,61889
Caldas,Miguel Uribe Londono,1098
Caldas,Sergio Fajardo,26703
Caldas,Claudia Lopez,4908
Caldas,Roy Barreras,468
Caldas,Mauricio Lizcano,13812
Caldas,Santiago Botero,6093
Caldas,Sondra Macollins,611
Caldas,Gustavo Matamoros,147
Caldas,Votos en blanco,9832
Caqueta,Ivan Cepeda,66468
Caqueta,Abelardo de la Espriella,81783
Caqueta,Paloma Valencia,8226
Caqueta,Miguel Uribe Londono,375
Caqueta,Sergio Fajardo,4048
Caqueta,Claudia Lopez,879
Caqueta,Roy Barreras,182
Caqueta,Mauricio Lizcano,440
Caqueta,Santiago Botero,3346
Caqueta,Sondra Macollins,252
Caqueta,Gustavo Matamoros,69
Caqueta,Votos en blanco,4945
Casanare,Ivan Cepeda,54202
Casanare,Abelardo de la Espriella,134114
Casanare,Paloma Valencia,14702
Casanare,Miguel Uribe Londono,288
Casanare,Sergio Fajardo,6028
Casanare,Claudia Lopez,1076
Casanare,Roy Barreras,196
Casanare,Mauricio Lizcano,333
Casanare,Santiago Botero,3642
Casanare,Sondra Macollins,205
Casanare,Gustavo Matamoros,67
Casanare,Votos en blanco,3905
Cauca,Ivan Cepeda,462794
Cauca,Abelardo de la Espriella,131175
Cauca,Paloma Valencia,40343
Cauca,Miguel Uribe Londono,1122
Cauca,Sergio Fajardo,12037
Cauca,Claudia Lopez,3988
Cauca,Roy Barreras,741
Cauca,Mauricio Lizcano,1256
Cauca,Santiago Botero,5177
Cauca,Sondra Macollins,822
Cauca,Gustavo Matamoros,256
Cauca,Votos en blanco,16433
Cesar,Ivan Cepeda,224457
Cesar,Abelardo de la Espriella,223840
Cesar,Paloma Valencia,11898
Cesar,Miguel Uribe Londono,370
Cesar,Sergio Fajardo,8174
Cesar,Claudia Lopez,1132
Cesar,Roy Barreras,173
Cesar,Mauricio Lizcano,908
Cesar,Santiago Botero,4033
Cesar,Sondra Macollins,241
Cesar,Gustavo Matamoros,85
Cesar,Votos en blanco,7105
Choco,Ivan Cepeda,109148
Choco,Abelardo de la Espriella,22782
Choco,Paloma Valencia,5640
Choco,Miguel Uribe Londono,331
Choco,Sergio Fajardo,1203
Choco,Claudia Lopez,612
Choco,Roy Barreras,203
Choco,Mauricio Lizcano,343
Choco,Santiago Botero,983
Choco,Sondra Macollins,238
Choco,Gustavo Matamoros,107
Choco,Votos en blanco,2261
Cordoba,Ivan Cepeda,391880
Cordoba,Abelardo de la Espriella,268604
Cordoba,Paloma Valencia,19401
Cordoba,Miguel Uribe Londono,527
Cordoba,Sergio Fajardo,8325
Cordoba,Claudia Lopez,1596
Cordoba,Roy Barreras,333
Cordoba,Mauricio Lizcano,1206
Cordoba,Santiago Botero,2925
Cordoba,Sondra Macollins,463
Cordoba,Gustavo Matamoros,105
Cordoba,Votos en blanco,9605
Cundinamarca,Ivan Cepeda,600032
Cundinamarca,Abelardo de la Espriella,724083
Cundinamarca,Paloma Valencia,123140
Cundinamarca,Miguel Uribe Londono,2392
Cundinamarca,Sergio Fajardo,71750
Cundinamarca,Claudia Lopez,26925
Cundinamarca,Roy Barreras,910
Cundinamarca,Mauricio Lizcano,2950
Cundinamarca,Santiago Botero,15499
Cundinamarca,Sondra Macollins,1439
Cundinamarca,Gustavo Matamoros,359
Cundinamarca,Votos en blanco,29877
Guainia,Ivan Cepeda,6778
Guainia,Abelardo de la Espriella,3722
Guainia,Paloma Valencia,688
Guainia,Miguel Uribe Londono,44
Guainia,Sergio Fajardo,188
Guainia,Claudia Lopez,112
Guainia,Roy Barreras,10
Guainia,Mauricio Lizcano,31
Guainia,Santiago Botero,134
Guainia,Sondra Macollins,21
Guainia,Gustavo Matamoros,4
Guainia,Votos en blanco,247
Guaviare,Ivan Cepeda,12677
Guaviare,Abelardo de la Espriella,16060
Guaviare,Paloma Valencia,2016
Guaviare,Miguel Uribe Londono,76
Guaviare,Sergio Fajardo,835
Guaviare,Claudia Lopez,298
Guaviare,Roy Barreras,33
Guaviare,Mauricio Lizcano,90
Guaviare,Santiago Botero,754
Guaviare,Sondra Macollins,45
Guaviare,Gustavo Matamoros,20
Guaviare,Votos en blanco,1113
Huila,Ivan Cepeda,176721
Huila,Abelardo de la Espriella,297613
Huila,Paloma Valencia,35802
Huila,Miguel Uribe Londono,837
Huila,Sergio Fajardo,14601
Huila,Claudia Lopez,3357
Huila,Roy Barreras,460
Huila,Mauricio Lizcano,1158
Huila,Santiago Botero,6779
Huila,Sondra Macollins,636
Huila,Gustavo Matamoros,142
